For more accurate power reporting use build_rtl_power_models after generic synthesis.
============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.20-p003_1
  Generated on:           Sep 06 2020  11:57:39 am
  Module:                 vlc_phy_fec
  Technology libraries:   tcb018gbwp7ttc 270
                          physical_cells 
  Operating conditions:   NCCOM 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                                    Leakage     Dynamic        Total     
                  Instance                   Cells Power(nW)   Power(nW)     Power(nW)   
                MULTIPLIER                     304    42.404     38012.275     38054.679 
                  MULT_LUT                     304    42.404     38012.275     38054.679 
                    mux_mt_8[32][i]_2340_2       8    36.959      5719.905      5756.864 
                    ctl_i_51_31                296     5.445     32292.369     32297.815 
                LOOP_ASYNC_DFF                  16     1.900     18173.388     18175.287 
                  mux_q_27_12                    8     0.515      4272.388      4272.903 
                OUTPUT_ASYNC_DFF                16     1.900      9304.931      9306.830 
                  mux_q_27_12                    8     0.515      1068.097      1068.612 
                END_ADDER                        8     0.783     13447.316     13448.099 
                  g1                             8     0.783     13447.316     13448.099 
                mux_w_d_fl..elector_56_52        8     0.515      9207.436      9207.951 
                mux_w_end_..elector_42_60        8     0.515      8946.582      8947.097 
              GEN_RS_SYN.._SUBUNIT_INST        360    48.015    101495.002    101543.018 
                MULTIPLIER                     304    42.404     40813.204     40855.608 
                  MULT_LUT                     304    42.404     40813.204     40855.608 
                    mux_mt_8[64][i]_2340_2       8    36.959      8520.835      8557.794 
                    ctl_i_51_31                296     5.445     32292.369     32297.815 
                LOOP_ASYNC_DFF                  16     1.900     18173.388     18175.287 
                  mux_q_27_12                    8     0.515      4272.388      4272.903 
                OUTPUT_ASYNC_DFF                16     1.900      9304.931      9306.830 
                  mux_q_27_12                    8     0.515      1068.097      1068.612 
                END_ADDER                        8     0.783     13447.316     13448.099 
                  g1                             8     0.783     13447.316     13448.099 
                mux_w_d_fl..elector_56_52        8     0.515     10809.582     10810.096 
                mux_w_end_..elector_42_60        8     0.515      8946.582      8947.097 
              GEN_RS_SYN.._SUBUNIT_INST        360    48.015    101495.002    101543.018 
                MULTIPLIER                     304    42.404     40813.204     40855.608 
                  MULT_LUT                     304    42.404     40813.204     40855.608 
                    mux_mt_8[128][i]_2340_2      8    36.959      8520.835      8557.794 
                    ctl_i_51_31                296     5.445     32292.369     32297.815 
                LOOP_ASYNC_DFF                  16     1.900     18173.388     18175.287 
                  mux_q_27_12                    8     0.515      4272.388      4272.903 
                OUTPUT_ASYNC_DFF                16     1.900      9304.931      9306.830 
                  mux_q_27_12                    8     0.515      1068.097      1068.612 
                END_ADDER                        8     0.783     13447.316     13448.099 
                  g1                             8     0.783     13447.316     13448.099 
                mux_w_d_fl..elector_56_52        8     0.515     10809.582     10810.096 
                mux_w_end_..elector_42_60        8     0.515      8946.582      8947.097 
              GEN_RS_SYN.._SUBUNIT_INST        360    48.015    101495.002    101543.018 
                MULTIPLIER                     304    42.404     40813.204     40855.608 
                  MULT_LUT                     304    42.404     40813.204     40855.608 
                    mux_mt_8[29][i]_2340_2       8    36.959      8520.835      8557.794 
                    ctl_i_51_31                296     5.445     32292.369     32297.815 
                LOOP_ASYNC_DFF                  16     1.900     18173.388     18175.287 
                  mux_q_27_12                    8     0.515      4272.388      4272.903 
                OUTPUT_ASYNC_DFF                16     1.900      9304.931      9306.830 
                  mux_q_27_12                    8     0.515      1068.097      1068.612 
                END_ADDER                        8     0.783     13447.316     13448.099 
                  g1                             8     0.783     13447.316     13448.099 
                mux_w_d_fl..elector_56_52        8     0.515     10809.582     10810.096 
                mux_w_end_..elector_42_60        8     0.515      8946.582      8947.097 
              GEN_RS_SYN.._SUBUNIT_INST        360    48.015    101495.002    101543.018 
                MULTIPLIER                     304    42.404     40813.204     40855.608 
                  MULT_LUT                     304    42.404     40813.204     40855.608 
