For more accurate power reporting use build_rtl_power_models after generic synthesis.
============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.20-p003_1
  Generated on:           Sep 06 2020  11:57:39 am
  Module:                 vlc_phy_fec
  Technology libraries:   tcb018gbwp7ttc 270
                          physical_cells 
  Operating conditions:   NCCOM 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                                    Leakage     Dynamic        Total     
                  Instance                   Cells Power(nW)   Power(nW)     Power(nW)   
              mux_r_state_231_38                 3     0.193         0.000         0.193 
              mux_r_state_229_35                 3     0.193      2996.075      2996.268 
              mux_r_state_239_35                 3     0.193      4049.574      4049.767 
              mux_r_state_194_17                 3     0.193      1468.633      1468.826 
              ctl_r_state_258_14                10     0.182     13217.630     13217.812 
              mux_r_state_202_71                 2     0.129         0.000         0.129 
              mux_r_state_201_39                 2     0.129      1118.323      1118.451 
              mux_r_state_243_71                 2     0.129         0.000         0.129 
              mux_r_state_241_42                 2     0.129      1118.323      1118.451 
              mux_o_stall_258_14                 1     0.110     19146.016     19146.127 
              mux_o_rd_symbol_258_14             1     0.110      1283.070      1283.180 
              mux_o_rd_n..ymbols_258_14          1     0.110       966.747       966.858 
              mux_o_rd_c..forney_258_14          1     0.110       966.747       966.858 
              mux_r_state_222_35                 1     0.064       851.298       851.363 
              mux_o_select_input_258_19          1     0.055     24455.054     24455.108 
            NUMBER_OF_SYMBOLS_FLOP               4     0.693      8087.875      8088.567 
            mux_w_numb..symbols_94_69            4     0.257      5274.364      5274.621 
            FIFO_READY_FLOP                      1     0.173      2485.916      2486.090 
          GEN_NO_PAR..BOL_FIFO_INST            643    55.636    237800.409    237856.045 
            mux_r_FIFO..D_INDEX]_53_3            4     7.013      1434.830      1441.843 
            sub_80_40                           55     1.573     13798.885     13800.458 
            add_78_40                           53     1.539     13019.998     13021.537 
            add_88_38                           22     0.870     12513.432     12514.302 
            add_97_38                           22     0.870      1413.469      1414.339 
            gte_113_46                          41     0.750      4713.506      4714.256 
            mux_r_FIFO_COUNT_77_27               7     0.450      7205.980      7206.430 
            mux_r_FIFO_COUNT_70_14               7     0.450      3204.291      3204.742 
            mux_r_RD_INDEX_94_25                 6     0.386       813.130       813.516 
            mux_r_RD_INDEX_70_14                 6     0.386       400.536       400.922 
            mux_r_WR_INDEX_85_25                 6     0.386      3252.520      3252.906 
            mux_r_WR_INDEX_70_14                 6     0.386      1602.146      1602.532 
            mux_w_EMPTY_114_36                   1     0.064       542.087       542.151 
            mux_w_FULL_112_36                    1     0.064         0.000         0.064 
            mux_w_FULL..US_ONE_113_46            1     0.064         0.000         0.064 
          GEN_NO_PAR.._CASCADE_INST            130    15.436     67528.811     67544.246 
            GEN_CONVOL..C_D_FLOP_INST           10     1.187      6644.652      6645.840 
              mux_o_data_21_14                   5     0.322      2136.194      2136.516 
            GEN_CONVOL..C_D_FLOP_INST           10     1.187      4091.496      4092.684 
              mux_o_data_21_14                   5     0.322       534.048       534.370 
            GEN_CONVOL..C_D_FLOP_INST           10     1.187      4323.967      4325.154 
              mux_o_data_21_14                   5     0.322       667.560       667.882 
            GEN_CONVOL..C_D_FLOP_INST           10     1.187      4205.722      4206.909 
              mux_o_data_21_14                   5     0.322       667.560       667.882 
            GEN_CONVOL..C_D_FLOP_INST           10     1.187      4207.732      4208.919 
              mux_o_data_21_14                   5     0.322       600.805       601.126 
            GEN_CONVOL..C_D_FLOP_INST           10     1.187      4323.967      4325.154 
              mux_o_data_21_14                   5     0.322       667.561       667.882 
            GEN_CONVOL..C_D_FLOP_INST           10     1.187      4205.722      4206.910 
              mux_o_data_21_14                   5     0.322       667.561       667.882 
            GEN_CONVOL..C_D_FLOP_INST           10     1.187      4207.732      4208.919 
              mux_o_data_21_14                   5     0.322       600.805       601.126 
            GEN_CONVOL..C_D_FLOP_INST           10     1.187      4323.967      4325.154 
              mux_o_data_21_14                   5     0.322       667.561       667.882 
            GEN_CONVOL..C_D_FLOP_INST           10     1.187      4323.967      4325.154 
              mux_o_data_21_14                   5     0.322       667.561       667.882 
            GEN_CONVOL..C_D_FLOP_INST           10     1.187      4323.967      4325.154 
              mux_o_data_21_14                   5     0.322       667.561       667.882 
            GEN_CONVOL..C_D_FLOP_INST           10     1.187      4087.477      4088.665 
              mux_o_data_21_14                   5     0.322       667.561       667.882 
            GEN_CONVOL..C_D_FLOP_INST           10     1.187     14258.443     14259.631 
              mux_o_data_21_14                   5     0.322       534.048       534.370 
          SYNDROME_FIFO_ARRAY_INST             117    11.809     30847.358     30859.167 
            sub_81_40                           19     0.584         0.000         0.584 
            add_79_40                           17     0.550         0.000         0.550 
            mux_r_FIFO_COUNT_78_27               3     0.193         0.000         0.193 
            mux_r_FIFO_COUNT_71_14               3     0.193         0.000         0.193 
            mux_w_EMPTY_114_36                   1     0.064         0.000         0.064 
            mux_w_FULL_113_36                    1     0.064         0.000         0.064 
          NUMBER_OF_..OLS_FIFO_INST            148     8.885      9895.834      9904.719 
            sub_80_40                           26     0.794         0.000         0.794 
            add_78_40                           24     0.761         0.000         0.761 
            mux_r_FIFO..D_INDEX]_53_3            4     0.397         0.000         0.397 
            mux_r_FIFO_COUNT_77_27               4     0.257         0.000         0.257 
            mux_r_FIFO_COUNT_70_14               4     0.257         0.000         0.257 
            add_88_38                            5     0.249         0.000         0.249 
            add_97_38                            5     0.249         0.000         0.249 
            mux_r_RD_INDEX_94_25                 2     0.129         0.000         0.129 
            mux_r_RD_INDEX_70_14                 2     0.129         0.000         0.129 
            mux_r_WR_INDEX_85_25                 2     0.129         0.000         0.129 
            mux_r_WR_INDEX_70_14                 2     0.129         0.000         0.129 
            mux_w_EMPTY_114_36                   1     0.064         0.000         0.064 
            mux_w_FULL_112_36                    1     0.064         0.000         0.064 
          CHIEN_FIFO_ARRAY_INST                 93     7.654     34526.663     34534.317 
            sub_81_40                           19     0.584      5287.756      5288.340 
            add_79_40                           17     0.550      4721.218      4721.768 
            mux_r_FIFO_COUNT_78_27               3     0.193      2399.984      2400.177 
            mux_r_FIFO_COUNT_71_14               3     0.193      1001.341      1001.534 
            mux_w_EMPTY_114_36                   1     0.064         0.000         0.064 
            mux_w_FULL_113_36                    1     0.064         0.000         0.064 
          FORNEY_FIFO_ARRAY_INST                89     6.961     10687.501     10694.463 
            sub_81_40                           19     0.584         0.000         0.584 
            add_79_40                           17     0.550         0.000         0.550 
            mux_r_FIFO_COUNT_78_27               3     0.193         0.000         0.193 
            mux_r_FIFO_COUNT_71_14               3     0.193         0.000         0.193 
            mux_w_EMPTY_114_36                   1     0.064         0.000         0.064 
            mux_w_FULL_113_36                    1     0.064         0.000         0.064 
          INPUT_ASYNC_DFF                        8     0.950     21704.604     21705.554 
            mux_q_27_12                          4     0.257      2536.730      2536.988 
          ERROR_CORR..ON_ADDER_INST              4     0.391       153.862       154.253 
            g1                                   4     0.391       153.862       154.253 
      RS_15_4                                 4075   294.801   2493112.911   2493407.712 
        GEN_DECODER.DECODER_INST              4075   294.801   2493112.911   2493407.712 
          RS_BERLEKAMP_MASSEY_INST             964    75.450    395477.755    395553.205 
            RS_BERLEKA..SEY_UNIT_INST          856    68.432    326987.523    327055.955 
              SYNDROME_REGISTER_ARRAY           88    10.449    110838.859    110849.308 
                mux_w_q[10]_33_20                4     0.257      4498.404      4498.661 
                mux_w_q[9]_33_20                 4     0.257      4498.404      4498.661 
                mux_w_q[8]_33_20                 4     0.257      4398.270      4398.527 
                mux_w_q[7]_33_20                 4     0.257      4498.404      4498.661 
                mux_w_q[6]_33_20                 4     0.257      4498.404      4498.661 
                mux_w_q[5]_33_20                 4     0.257      4498.404      4498.661 
                mux_w_q[4]_33_20                 4     0.257      4398.270      4398.527 
                mux_w_q[3]_33_20                 4     0.257      4498.404      4498.661 
                mux_w_q[2]_33_20                 4     0.257      4498.404      4498.661 
                mux_w_q[1]_33_20                 4     0.257      4431.648      4431.905 
                mux_w_q[0]_33_20                 4     0.257      4398.270      4398.527 
              T_GREATER_..CTION_SHIFTER         60     6.036     27283.086     27289.123 
                mux_r_array[0]_202_39            4     0.257       638.474       638.731 
                mux_r_array[0]_200_21            4     0.257      1852.639      1852.897 
                mux_r_array[1]_202_39            4     0.257       479.849       480.106 
                mux_r_array[1]_200_21            4     0.257      1134.853      1135.110 
                mux_r_array[2]_202_39            4     0.257      1118.323      1118.580 
                mux_r_array[2]_200_21            4     0.257      1335.121      1335.379 
                mux_r_array[3]_202_39            4     0.257      1118.323      1118.580 
                mux_r_array[3]_200_21            4     0.257      1335.121      1335.379 
                mux_r_array[4]_202_39            4     0.257      1118.323      1118.580 
                mux_r_array[4]_200_21            4     0.257      1919.395      1919.653 
              SYNDROME_SHIFTER                  40     4.749     22254.538     22259.288 
                mux_r_array[0]_168_21            4     0.257      1068.097      1068.354 
                mux_r_array[1]_168_21            4     0.257      1335.121      1335.379 
                mux_r_array[2]_168_21            4     0.257      1335.121      1335.379 
                mux_r_array[3]_168_21            4     0.257      1335.121      1335.379 
                mux_r_array[4]_168_21            4     0.257      1335.121      1335.379 
              LOCATION_POLY_REGISTER            40     4.749     34709.019     34713.769 
                mux_q[4]_31_17                   4     0.257      1335.121      1335.379 
                mux_q[3]_31_17                   4     0.257      1335.121      1335.379 
                mux_q[2]_31_17                   4     0.257      1335.121      1335.379 
                mux_q[1]_31_17                   4     0.257      1335.121      1335.379 
                mux_q[0]_31_17                   4     0.257      1335.121      1335.379 
              mux_r_synd..ndexer]_260_5          4     2.523     18215.575     18218.097 
              GEN_SYNDRO..LOCATION_MULT         31     2.015      7001.014      7003.029 
                FULL_MULTIPLIER                 31     2.015      7001.014      7003.029 
              GEN_SYNDRO..LOCATION_MULT         31     2.015      7001.014      7003.029 
                FULL_MULTIPLIER                 31     2.015      7001.014      7003.029 
              GEN_SYNDRO..LOCATION_MULT         31     2.015      7001.014      7003.029 
                FULL_MULTIPLIER                 31     2.015      7001.014      7003.029 
              GEN_SYNDRO..LOCATION_MULT         31     2.015      7001.014      7003.029 
                FULL_MULTIPLIER                 31     2.015      7001.014      7003.029 
              GEN_SYNDRO..LOCATION_MULT         31     2.015      7001.014      7003.029 
                FULL_MULTIPLIER                 31     2.015      7001.014      7003.029 
              DISCREPANCY_MULT                  31     2.015       272.369       274.385 
                FULL_MULTIPLIER                 31     2.015       272.369       274.385 
              T_GREATER_..LOCATION_MULT         31     2.015       136.185       138.200 
                FULL_MULTIPLIER                 31     2.015       136.185       138.200 
              T_GREATER_..LOCATION_MULT         31     2.015       544.739       546.754 
                FULL_MULTIPLIER                 31     2.015       544.739       546.754 
              T_GREATER_..LOCATION_MULT         31     2.015       544.739       546.754 
                FULL_MULTIPLIER                 31     2.015       544.739       546.754 
              T_GREATER_..LOCATION_MULT         31     2.015       544.739       546.754 
                FULL_MULTIPLIER                 31     2.015       544.739       546.754 
              T_GREATER_..LOCATION_MULT         31     2.015       408.554       410.569 
                FULL_MULTIPLIER                 31     2.015       408.554       410.569 
              REDUCE_ADDER                      20     1.956      4136.990      4138.947 
                g2                               4     0.391       456.823       457.214 
                g3                               4     0.391       615.448       615.839 
                g4                               4     0.391       456.823       457.214 
                g5                               4     0.391       615.448       615.839 
                g6                               4     0.391      1992.448      1992.839 
              DISCREPANCY_INVERTER              40     1.821      3968.188      3970.009 
                mux_gp_inverse_4[i]_17_2         4     1.225       922.697       923.921 
                ctl_i_42_33                     36     0.596      3045.492      3046.087 
              sub_367_101                       39     1.112      4991.689      4992.801 
              FIRST_SYNDROME_REG                 8     0.950      5843.604      5844.554 
                mux_q_28_21                      4     0.257      1835.792      1836.049 
              sub_458_49                        17     0.621         0.000         0.621 
              gte_353_83                        23     0.420      2065.732      2066.152 
              T_GREATER_..CATTION_ADDER          4     0.391      1463.771      1464.162 
                g1                               4     0.391      1463.771      1464.162 
              T_GREATER_..CATTION_ADDER          4     0.391      1463.771      1464.162 
                g1                               4     0.391      1463.771      1464.162 
              T_GREATER_..CATTION_ADDER          4     0.391      1463.771      1464.162 
                g1                               4     0.391      1463.771      1464.162 
              T_GREATER_..CATTION_ADDER          4     0.391      1463.771      1464.162 
                g1                               4     0.391      1463.771      1464.162 
              T_GREATER_..CATTION_ADDER          4     0.391      1463.771      1464.162 
                g1                               4     0.391      1463.771      1464.162 
              mux_r_2l_366_39                    5     0.322      1421.973      1422.294 
              mux_r_2l_364_31                    5     0.322      1668.901      1669.223 
              mux_w_sele..epancy_394_71          4     0.257      1201.609      1201.866 
              mux_r_discrepancy_380_39           4     0.257       946.642       946.900 
              mux_r_discrepancy_378_31           4     0.257      1268.365      1268.622 
              mux_r_valu..oly[4]_453_31          4     0.257      1201.609      1201.866 
              mux_r_valu..oly[3]_453_31          4     0.257      1201.609      1201.866 
              mux_r_valu..oly[2]_453_31          4     0.257      1201.609      1201.866 
              mux_r_valu..oly[1]_453_31          4     0.257      1201.609      1201.866 
              mux_r_valu..oly[0]_453_31          4     0.257      1201.609      1201.866 
              gte_457_68                         8     0.144         0.000         0.144 
              mux_w_load..values_353_59          1     0.064         0.000         0.064 
            RS_BERLEKA.._CONTROL_INST          108     7.018     68490.232     68497.250 
              mux_r_synd..indexer_41_18          4     1.443      3094.415      3095.859 
              mux_r_state_41_16                  2     0.722      2336.287      2337.008 
              add_50_62                         13     0.550         0.000         0.550 
              mux_cmbsop..y_phase_89_14          4     0.442      2604.382      2604.824 
              ctl_89_12                         15     0.260      4342.602      4342.862 
              mux_r_synd..indexer_56_48          4     0.257         0.000         0.257 
              mux_r_synd..indexer_37_11          4     0.257       534.048       534.306 
              mux_o_rst_bm_unit_89_14            2     0.221       944.329       944.550 
              mux_r_state_37_11                  3     0.193      1134.853      1135.046 
              ctl_r_state_89_14                 10     0.182      2828.409      2828.591 
              mux_r_state_76_50                  2     0.129       106.412       106.541 
              mux_o_berl..y_ready_89_14          1     0.110       209.026       209.137 
              mux_r_state_41_18                  1     0.110       863.665       863.775 
              mux_r_state_44_42                  1     0.064       106.412       106.477 
              mux_r_state_53_44                  1     0.064         0.000         0.064 
              mux_r_state_69_44                  1     0.064         0.000         0.064 
              mux_r_state_78_45                  1     0.064       106.412       106.477 
              mux_o_berl..y_ready_89_11          1     0.047         0.000         0.047 
              mux_o_rst_bm_unit_89_15            1     0.047     37805.588     37805.634 
          RS_SYNDROME_INST                    1044    64.485    883494.353    883558.839 
            RS_SYNDROME_UNIT_INST              748    50.890    770853.550    770904.440 
              GEN_RS_SYN.._SUBUNIT_INST         68     4.626     72601.572     72606.198 
                MULTIPLIER                      40     1.821     26822.697     26824.518 
                  MULT_LUT                      40     1.821     26822.697     26824.518 
                    mux_mt_4[1][i]_2092_2        4     1.225      5525.338      5526.563 
                    ctl_i_39_31                 36     0.596     21297.360     21297.956 
                LOOP_ASYNC_DFF                   8     0.950      9086.694      9087.644 
                  mux_q_27_12                    4     0.257      2136.194      2136.451 
                OUTPUT_ASYNC_DFF                 8     0.950      7907.052      7908.002 
                  mux_q_27_12                    4     0.257      2403.218      2403.476 
                END_ADDER                        4     0.391     17922.237     17922.628 
                  g1                             4     0.391     17922.237     17922.628 
                mux_w_d_fl..elector_56_52        4     0.257      5538.303      5538.560 
                mux_w_end_..elector_42_60        4     0.257      5324.590      5324.847 
              GEN_RS_SYN.._SUBUNIT_INST         68     4.626     71801.227     71805.854 
                MULTIPLIER                      40     1.821     27549.929     27551.750 
                  MULT_LUT                      40     1.821     27549.929     27551.750 
                    mux_mt_4[2][i]_2092_2        4     1.225      5496.467      5497.692 
                    ctl_i_39_31                 36     0.596     22053.462     22054.058 
                LOOP_ASYNC_DFF                   8     0.950      8617.734      8618.684 
                  mux_q_27_12                    4     0.257      2002.682      2002.939 
                OUTPUT_ASYNC_DFF                 8     0.950      7907.052      7908.002 
                  mux_q_27_12                    4     0.257      2403.218      2403.476 
                END_ADDER                        4     0.391     17693.825     17694.216 
                  g1                             4     0.391     17693.825     17694.216 
                mux_w_d_fl..elector_56_52        4     0.257      5066.991      5067.249 
                mux_w_end_..elector_42_60        4     0.257      4965.696      4965.954 
              GEN_RS_SYN.._SUBUNIT_INST         68     4.626     67887.592     67892.218 
                MULTIPLIER                      40     1.821     26629.299     26631.119 
                  MULT_LUT                      40     1.821     26629.299     26631.119 
                    mux_mt_4[4][i]_2092_2        4     1.225      6102.096      6103.321 
                    ctl_i_39_31                 36     0.596     20527.203     20527.798 
                LOOP_ASYNC_DFF                   8     0.950      8148.774      8149.724 
                  mux_q_27_12                    4     0.257      1869.170      1869.427 
                OUTPUT_ASYNC_DFF                 8     0.950      7442.111      7443.061 
                  mux_q_27_12                    4     0.257      2136.194      2136.451 
                END_ADDER                        4     0.391     15930.877     15931.268 
                  g1                             4     0.391     15930.877     15931.268 
                mux_w_d_fl..elector_56_52        4     0.257      5129.728      5129.986 
                mux_w_end_..elector_42_60        4     0.257      4606.803      4607.061 
              GEN_RS_SYN.._SUBUNIT_INST         68     4.626     67123.930     67128.556 
                MULTIPLIER                      40     1.821     26992.677     26994.497 
                  MULT_LUT                      40     1.821     26992.677     26994.497 
                    mux_mt_4[8][i]_2092_2        4     1.225      6465.474      6466.699 
                    ctl_i_39_31                 36     0.596     20527.203     20527.798 
                LOOP_ASYNC_DFF                   8     0.950      7679.814      7680.764 
                  mux_q_27_12                    4     0.257      1735.658      1735.915 
                OUTPUT_ASYNC_DFF                 8     0.950      7442.111      7443.061 
                  mux_q_27_12                    4     0.257      2136.194      2136.451 
                END_ADDER                        4     0.391     15702.465     15702.857 
                  g1                             4     0.391     15702.465     15702.857 
                mux_w_d_fl..elector_56_52        4     0.257      5058.953      5059.211 
                mux_w_end_..elector_42_60        4     0.257      4247.910      4248.167 
              GEN_RS_SYN.._SUBUNIT_INST         68     4.626     66748.166     66752.792 
                MULTIPLIER                      40     1.821     26750.425     26752.246 
                  MULT_LUT                      40     1.821     26750.425     26752.246 
                    mux_mt_4[3][i]_2092_2        4     1.225      6223.222      6224.447 
                    ctl_i_39_31                 36     0.596     20527.203     20527.798 
                LOOP_ASYNC_DFF                   8     0.950      7679.814      7680.764 
                  mux_q_27_12                    4     0.257      1735.658      1735.915 
                OUTPUT_ASYNC_DFF                 8     0.950      7442.111      7443.061 
                  mux_q_27_12                    4     0.257      2136.194      2136.451 
                END_ADDER                        4     0.391     15702.465     15702.857 
                  g1                             4     0.391     15702.465     15702.857 
                mux_w_d_fl..elector_56_52        4     0.257      4925.441      4925.698 
                mux_w_end_..elector_42_60        4     0.257      4247.910      4248.167 
              GEN_RS_SYN.._SUBUNIT_INST         68     4.626     72528.486     72533.113 
                MULTIPLIER                      40     1.821     29730.195     29732.016 
                  MULT_LUT                      40     1.821     29730.195     29732.016 
                    mux_mt_4[6][i]_2092_2        4     1.225      7676.733      7677.958 
                    ctl_i_39_31                 36     0.596     22053.462     22054.058 
                LOOP_ASYNC_DFF                   8     0.950      7679.814      7680.764 
                  mux_q_27_12                    4     0.257      1735.658      1735.915 
                OUTPUT_ASYNC_DFF                 8     0.950      7907.052      7908.002 
                  mux_q_27_12                    4     0.257      2403.218      2403.476 
                END_ADDER                        4     0.391     17237.002     17237.393 
                  g1                             4     0.391     17237.002     17237.393 
                mux_w_d_fl..elector_56_52        4     0.257      5726.514      5726.771 
                mux_w_end_..elector_42_60        4     0.257      4247.910      4248.167 
              GEN_RS_SYN.._SUBUNIT_INST         68     4.626     67123.930     67128.556 
                MULTIPLIER                      40     1.821     26992.677     26994.497 
                  MULT_LUT                      40     1.821     26992.677     26994.497 
                    mux_mt_4[12][i]_2092_2       4     1.225      6465.474      6466.699 
                    ctl_i_39_31                 36     0.596     20527.203     20527.798 
                LOOP_ASYNC_DFF                   8     0.950      7679.814      7680.764 
                  mux_q_27_12                    4     0.257      1735.658      1735.915 
                OUTPUT_ASYNC_DFF                 8     0.950      7442.111      7443.061 
                  mux_q_27_12                    4     0.257      2136.194      2136.451 
                END_ADDER                        4     0.391     15702.465     15702.857 
                  g1                             4     0.391     15702.465     15702.857 
                mux_w_d_fl..elector_56_52        4     0.257      5058.953      5059.211 
                mux_w_end_..elector_42_60        4     0.257      4247.910      4248.167 
              GEN_RS_SYN.._SUBUNIT_INST         68     4.626     69014.884     69019.510 
                MULTIPLIER                      40     1.821     27356.054     27357.875 
                  MULT_LUT                      40     1.821     27356.054     27357.875 
                    mux_mt_4[11][i]_2092_2       4     1.225      6828.852      6830.076 
                    ctl_i_39_31                 36     0.596     20527.203     20527.798 
                LOOP_ASYNC_DFF                   8     0.950      8148.774      8149.724 
                  mux_q_27_12                    4     0.257      1869.170      1869.427 
                OUTPUT_ASYNC_DFF                 8     0.950      7442.111      7443.061 
                  mux_q_27_12                    4     0.257      2136.194      2136.451 
                END_ADDER                        4     0.391     15930.877     15931.268 
                  g1                             4     0.391     15930.877     15931.268 
                mux_w_d_fl..elector_56_52        4     0.257      5530.265      5530.522 
                mux_w_end_..elector_42_60        4     0.257      4606.803      4607.061 
              GEN_RS_SYN.._SUBUNIT_INST         68     4.626     73292.149     73296.775 
                MULTIPLIER                      40     1.821     29366.817     29368.638 
                  MULT_LUT                      40     1.821     29366.817     29368.638 
                    mux_mt_4[5][i]_2092_2        4     1.225      7313.355      7314.580 
                    ctl_i_39_31                 36     0.596     22053.462     22054.058 
                LOOP_ASYNC_DFF                   8     0.950      8148.774      8149.724 
                  mux_q_27_12                    4     0.257      1869.170      1869.427 
                OUTPUT_ASYNC_DFF                 8     0.950      7907.052      7908.002 
                  mux_q_27_12                    4     0.257      2403.218      2403.476 
                END_ADDER                        4     0.391     17465.413     17465.805 
                  g1                             4     0.391     17465.413     17465.805 
                mux_w_d_fl..elector_56_52        4     0.257      5797.289      5797.546 
                mux_w_end_..elector_42_60        4     0.257      4606.803      4607.061 
              GEN_RS_SYN.._SUBUNIT_INST         68     4.626     72540.621     72545.247 
                MULTIPLIER                      40     1.821     28882.314     28884.134 
                  MULT_LUT                      40     1.821     28882.314     28884.134 
                    mux_mt_4[10][i]_2092_2       4     1.225      6828.852      6830.076 
                    ctl_i_39_31                 36     0.596     22053.462     22054.058 
                LOOP_ASYNC_DFF                   8     0.950      8148.774      8149.724 
                  mux_q_27_12                    4     0.257      1869.170      1869.427 
                OUTPUT_ASYNC_DFF                 8     0.950      7907.052      7908.002 
                  mux_q_27_12                    4     0.257      2403.218      2403.476 
                END_ADDER                        4     0.391     17465.413     17465.805 
                  g1                             4     0.391     17465.413     17465.805 
                mux_w_d_fl..elector_56_52        4     0.257      5530.265      5530.522 
                mux_w_end_..elector_42_60        4     0.257      4606.803      4607.061 
              GEN_RS_SYN.._SUBUNIT_INST         68     4.626     70190.992     70195.619 
                MULTIPLIER                      40     1.821     26871.074     26872.895 
                  MULT_LUT                      40     1.821     26871.074     26872.895 
                    mux_mt_4[7][i]_2092_2        4     1.225      7099.974      7101.199 
                    ctl_i_39_31                 36     0.596     19771.100     19771.696 
                LOOP_ASYNC_DFF                   8     0.950      8617.734      8618.684 
                  mux_q_27_12                    4     0.257      2002.682      2002.939 
                OUTPUT_ASYNC_DFF                 8     0.950      7442.111      7443.061 
                  mux_q_27_12                    4     0.257      2136.194      2136.451 
                END_ADDER                        4     0.391     16159.288     16159.680 
                  g1                             4     0.391     16159.288     16159.680 
                mux_w_d_fl..elector_56_52        4     0.257      6135.089      6135.346 
                mux_w_end_..elector_42_60        4     0.257      4965.696      4965.954 
            RS_SYNDROME_CONTROL_INST           296    13.596    112640.803    112654.399 
              compute_nu..ymbols_171_21         31     1.995       267.024       269.019 
              mux_r_counter_185_18               4     1.369      7149.975      7151.343 
              mux_r_state_185_18                 3     1.027      6089.412      6090.439 
              compute_nu..61:sub_174_28         34     0.939      2104.734      2105.673 
              ctl_224_38                        31     0.731      6617.960      6618.691 
              add_206_56                        13     0.550      2343.625      2344.175 
              lt_203_44                         21     0.384       249.185       249.570 
              compute_nu.._61:lt_171_21         21     0.384       465.964       466.348 
              mux_r_state_224_38                 3     0.348      1206.143      1206.491 
              mux_cmbsop_o_error_261_14          3     0.348     13720.157     13720.504 
              mux_r_state_196_66                 3     0.311         0.000         0.311 
              ctl_261_47                        17     0.295      7314.188      7314.483 
              mux_r_counter_181_17               4     0.257       934.585       934.842 
              ctl_r_state_261_14                13     0.239     10154.996     10155.236 
              mux_o_wr_symbol_261_14             2     0.232      1327.758      1327.990 
              mux_o_stall_261_14                 2     0.232       996.407       996.639 
              mux_r_state_188_39                 3     0.193         0.000         0.193 
              mux_r_state_181_17                 3     0.193      1335.121      1335.314 
              mux_w_o_in_ready_261_14            1     0.116      1948.481      1948.597 
              mux_o_valid_261_14                 1     0.116       435.928       436.044 
              mux_r_state_190_69                 1     0.064         0.000         0.064 
              mux_r_state_215_64                 1     0.064         0.000         0.064 
              mux_r_counter_228_51               1     0.064         0.000         0.064 
              mux_o_wr_symbol_301_70             1     0.064       638.474       638.538 
              mux_o_wr_symbol_261_46             1     0.047     10250.257     10250.304 
              mux_o_valid_261_49                 1     0.047         0.000         0.047 
              mux_o_stall_261_51                 1     0.047         0.000         0.047 
          GEN_NO_PAR..BOL_FIFO_INST            643    55.636    294217.435    294273.070 
            mux_r_FIFO..D_INDEX]_53_3            4     7.013      9385.712      9392.725 
            sub_80_40                           55     1.573     25268.722     25270.295 
            add_78_40                           53     1.539     25616.324     25617.863 
            add_88_38                           22     0.870      3706.580      3707.450 
            add_97_38                           22     0.870     13104.567     13105.437 
            gte_113_46                          41     0.750      9724.835      9725.585 
            mux_r_FIFO_COUNT_77_27               7     0.450      6426.228      6426.678 
            mux_r_FIFO_COUNT_70_14               7     0.450      2803.755      2804.205 
            mux_r_RD_INDEX_94_25                 6     0.386      2574.912      2575.298 
            mux_r_RD_INDEX_70_14                 6     0.386      1268.365      1268.751 
            mux_r_WR_INDEX_85_25                 6     0.386      2168.347      2168.733 
            mux_r_WR_INDEX_70_14                 6     0.386      1068.097      1068.483 
            mux_w_EMPTY_114_36                   1     0.064       271.043       271.108 
            mux_w_FULL_112_36                    1     0.064         0.000         0.064 
            mux_w_FULL..US_ONE_113_46            1     0.064       425.649       425.714 
          RS_CHIEN_FORNEY_INST                 864    52.093    671561.323    671613.415 
            RS_FORNEY_INST                     351    20.797    283456.451    283477.248 
              FULL_MULT                         31     2.015     31163.324     31165.339 
                FULL_MULTIPLIER                 31     2.015     31163.324     31165.339 
              GEN_rs_for..0].MULTIPLIER         40     1.821     18510.528     18512.348 
                MULT_LUT                        40     1.821     18510.528     18512.348 
                  mux_mt_4[1][i]_2092_2          4     1.225      3276.042      3277.267 
                  ctl_i_39_31                   36     0.596     15234.485     15235.081 
              GEN_rs_for..1].MULTIPLIER         40     1.821     18026.024     18027.845 
                MULT_LUT                        40     1.821     18026.024     18027.845 
                  mux_mt_4[2][i]_2092_2          4     1.225      2791.539      2792.764 
                  ctl_i_39_31                   36     0.596     15234.485     15235.081 
              GEN_rs_for..2].MULTIPLIER         40     1.821     17541.521     17543.341 
                MULT_LUT                        40     1.821     17541.521     17543.341 
                  mux_mt_4[4][i]_2092_2          4     1.225      2307.035      2308.260 
                  ctl_i_39_31                   36     0.596     15234.485     15235.081 
              GEN_rs_for..3].MULTIPLIER         40     1.821     17057.017     17058.838 
                MULT_LUT                        40     1.821     17057.017     17058.838 
                  mux_mt_4[8][i]_2092_2          4     1.225      1822.532      1823.757 
                  ctl_i_39_31                   36     0.596     15234.485     15235.081 
              GEN_rs_for..4].MULTIPLIER         40     1.821     17057.017     17058.838 
                MULT_LUT                        40     1.821     17057.017     17058.838 
                  mux_mt_4[3][i]_2092_2          4     1.225      1822.532      1823.757 
                  ctl_i_39_31                   36     0.596     15234.485     15235.081 
              INVERTER                          40     1.821     25422.642     25424.462 
                mux_gp_inverse_4[i]_17_2         4     1.225      7548.825      7550.050 
                ctl_i_42_33                     36     0.596     17873.817     17874.413 
